Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Guinea,net consumption,Africa,0.33759,0.34224,0.34968,0.36084,0.42501,0.43338,0.44082,0.44361,0.45384,0.45663,0.46035,0.465,0.46686,0.47151,0.47337,0.48546,0.49011,0.5766,0.59799,0.67425,0.743,0.933,0.984,0.865,0.942,0.881,0.843,0.942,0.967,0.9629,0.9199,0.8499,0.7069,0.644,0.696,1.1396,1.61654,1.510953,1.207224,1.7581,2.903097677,2.481586351
        Guinea-Bissau,net consumption,Africa,0.01209,0.01209,0.01209,0.01209,0.01302,0.01302,0.01581,0.01767,0.01953,0.02697,0.03534,0.03627,0.03813,0.04092,0.04278,0.04371,0.04464,0.0465,0.0465,0.04743,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.031,0.032,0.033,0.0333,0.059076,0.07952,0.07991,0.07568,0.076458,0.076458,0.076457786
        Kenya,net consumption,Africa,1.662,1.7937,1.8364,2.20215,2.28185,2.49255,2.3422,2.3849,2.6206,2.71025,2.87963,2.998,2.994,3.285492,3.311,3.455,3.604,3.61,3.736,3.455,3.38456,3.81952,3.92062,4.34598,4.64042,4.8419,5.19228,5.3746,5.32944,5.51726,6.15778,6.39186,6.6864,7.20644,6.79598,8.239,7.771,8.9935,8.8869,8.9228,9.0795,9.061198138
        Lesotho,net consumption,Africa,0,0,0,0,0,0,0,0,0,0,0.192,0.206,0.241,0.281,0.31,0.324,0.335,0.318,0.209,0.23635,0.2874,0.3018,0.2947,0.3227,0.3159,0.4497,0.5538,0.5955,0.6302,0.7703,0.8895,0.7108,0.775,0.7978,0.78908,0.78979,0.893428,0.809874,0.821774,0.91187,0.9127,0.902244103
        Liberia,net consumption,Africa,0.79236,0.74493,0.74958,0.73842,0.64728,0.6789,0.72912,0.7347,0.744,0.73005,0.27993,0.25389,0.26226,0.2604,0.2604,0.2604,0.2604,0.27342,0.279,0.186,0.181,0.181,0.181,0.181,0.181,0.181,0.181,0.226,0.226,0.226,0.2215,0.2475,0.2475,0.2495,0.2495,0.258,0.334,0.334,0.28,0.275,0.849,0.871109839
        Libya,net consumption,Africa,3.332,3.687,3.678,4.351,5.843,7.864,9.838,12.894,13.469,13.522,12.619,12.959,13.327,13.239,13.881,14.267,14.119,14.443,10.086,10.599,10.97424,11.31134,14.28114,15.43142,16.44788,18.517,20.84,21.087,19.336,18.084,18.88188,16.17742,25.74492,28.4867,28.36962,28.13382,23.58428,24.90456,25.69322,25.48734,25.40392439,27.18002723
        Madagascar,net consumption,Africa,0.38781,0.3906,0.40083,0.42036,0.44268,0.44919,0.44826,0.44454,0.4557,0.50313,0.53382,0.52824,0.5394,0.54033,0.54312,0.56637,0.61752,0.64635,0.6975,0.72261,0.747,0.848,0.827,0.945,1.054,1.064,1.089,1.131,1.182,1.173,1.26045,1.27129,1.61734,1.76174,1.87283,1.94927,1.91613,2.100595,2.166469,1.889023,1.862335,1.955814061
        Malawi,net consumption,Africa,0.37651,0.37,0.39425,0.42587,0.44068,0.45098,0.48167,0.53096,0.53661,0.5394,0.6603,0.70401,0.72819,0.88629,0.93,0.94674,0.94581,0.97185,1.10112,1.07601,1.1217,1.145,1.2025,1.2183,1.3425,1.364,1.3941,1.4161,1.5411,1.5137,1.75774,1.80537,1.6319,1.694759,1.86529,1.788581,1.920596,1.607135,1.227574,1.242478,1.2309,0.964462345
        Mali,net consumption,Africa,0.09579,0.09579,0.11811,0.13671,0.15252,0.15531,0.18414,0.19995,0.21948,0.22599,0.22413,0.2325,0.25203,0.27156,0.25575,0.28365,0.30318,0.35247,0.35991,0.36456,0.277,0.268,0.0479,0.067,0.07,0.1925,0.279,0.338,0.449,0.6423,1.16957,1.53696,1.8919,1.84815,2.04462,1.86085,2.04798,2.55692,2.82927,2.59998,2.489162239,2.678220623
        Mauritania,net consumption,Africa,0.08277,0.08928,0.093,0.09393,0.09207,0.09579,0.09672,0.10602,0.10695,0.11439,0.12369,0.12648,0.12927,0.12927,0.13299,0.1488,0.16275,0.17577,0.18135,0.18879,0.231658,0.28,0.5051,0.5522,0.587,0.6325,0.578,0.5602,0.6508,0.6885,0.747,0.957,1.049,1.113,1.166,1.3193,1.43946,1.49588,1.66258,1.8052,1.755118844,1.855855218
        Mauritius,net consumption,Africa,0.41013,0.40548,0.39897,0.40827,0.4185,0.42129,0.46593,0.52545,0.57009,0.60636,0.66867,0.73191,0.81375,0.86862,0.90582,0.9858,0.86025,0.99789,1.03695,1.25457,1.521222,1.628656,1.666246,1.784006,1.855926,1.941066,2.015026,2.10817,2.22215,2.26039,2.3719,2.40526,2.45992,2.56542,2.61434,2.68004,2.72632,2.78318,2.79937,2.9045,2.5933,2.742610665
        Morocco,net consumption,Africa,4.409,4.774,5.13,5.612,5.776,5.884,6.568,7.018,7.656,7.744,8.37,8.877,9.804,10.218,10.35,11.404,11.617,12.114,12.935,13.103,13.05014,14.35086,14.85642,16.3607,17.41062,18.31454,19.87216,21.26538,21.75128,22.2431,24.8441,26.8711,28.946,27.185,28.428414,28.957414,29.85,31.2688,31.39579,32.255546,31.678974,35.38603385
        Mozambique,net consumption,Africa,13.369,3.396,2.813,5.286,0.411,0.307,0.413,0.432,0.456,0.471,0.694,0.812,0.672,1.08,0.896,0.807,0.777,0.881,0.785,1.967,2.13336,4.94736,4.88972,7.16678,8.85624,9.15374,9.5688,9.84522,9.77522,10.03422,10.55386,11.3398,11.60484,11.49146,12.9666,13.80088,12.71324,12.4702,12.76059,13.454719,12.56146088,13.48867831
        Namibia,net consumption,Africa,--,--,--,--,--,--,--,--,--,--,0.586,0.45,0.32,0.755,0.585,1.728,1.732,1.65,1.279,1.706,1.769,1.94164,2.46294,2.62116,2.98094,2.96002,3.239,3.24,3.42,3.35,3.35252,3.37544,3.34684,3.79346,3.76822,3.80896,3.95528,4.132343,4.401195,4.385054,3.840962,3.434334454
        Niger,net consumption,Africa,0.20146,0.24648,0.24746,0.2712,0.24804,0.26292,0.29278,0.31564,0.3215,0.32729,0.33394,0.32843,0.33229,0.33157,0.32534,0.31927,0.33299,0.3262,0.34148,0.28206,0.343,0.338,0.352,0.363,0.424,0.49,0.524,0.559,0.582,0.657,0.7076,0.79048,0.86106,0.87066,0.96466,1.07938,1.15874,1.175503,1.234902,1.347536,1.204987,1.27920845
        Nigeria,net consumption,Africa,4.685,5.685,5.949,6.061,6.044,6.446,8.325,7.251,7.278,8.345,8.027,8.189,8.425,8.273,7.996,7.908,7.631,7.884,8.554,8.36,11.177,11.727,16.337,15.281,18.362,17.82,17.427,18.47694,16.97566,15.86312,20.96918,21.66594,22.99418,23.12258,25.7719,25.83497,26.52901,27.955155,26.8517,26.681401,24.86996293,26.595583
        Reunion,net consumption,Africa,0.31527,0.35805,0.39804,0.45105,0.47337,0.51429,0.56079,0.62124,0.68727,0.73005,0.81747,0.88536,0.9765,0.98766,0.99882,1.07136,1.12995,1.3113,1.39407,1.39779,1.80513,1.95114,1.93068,2.01345,2.22177,2.32407,2.35662,2.40498,2.49984,2.58447,2.6505,2.69049,0,0,0,0,0,0,0,0,0,0
        Rwanda,net consumption,Africa,0.15681,0.15351,0.15348,0.15222,0.16252,0.17045,0.16129,0.17224,0.17603,0.18175,0.16617,0.17231,0.17082,0.15501,0.1598,0.15966,0.15092,0.16952,0.22152,0.18083,0.155,0.15825,0.1676875,0.178,0.154,0.144,0.157,0.1752,0.1922,0.2242,0.27782,0.30438,0.3254,0.37748,0.4572,0.5383,0.59426,0.703556,0.797937,0.874086,0.748812,0.692177964
        Saint Helena,net consumption,Africa,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00279,0.00372,0.00372,0.00465,0.00465,0.00465,0.00465,0.00465,0.00558,0.00558,0.00558,0.00558,0.00558,0.00465,0.00444,0.00442,0.0044,0.00638,0.00736,0.00735,0.00734,0.0072,0.00738,0.0076,0.0073,0.0072,0.0083,0.007459,0.00630916,0.00550904,0.00572524,0.0062413,0.00642038,0.00680866,0.006707,0.007244152
        Sao Tome and Principe,net consumption,Africa,0.00837,0.00837,0.01023,0.01023,0.01395,0.01395,0.01302,0.01395,0.01395,0.01395,0.01395,0.01395,0.01395,0.01395,0.01674,0.01767,0.0186,0.01953,0.02046,0.02418,0.0202,0.0161,0.0205,0.0209,0.0232,0.0261,0.027,0.03,0.0315,0.0345,0.0387,0.0404,0.045,0.051,0.0574,0.0659,0.0703,0.073,0.0752,0.078,0.0832,0.088663497
        Senegal,net consumption,Africa,0.494,0.525,0.529,0.505,0.534,0.579,0.588,0.471,0.45,0.616,0.737,0.752,0.826,0.815,0.886,0.889,0.911,0.998,1.067,1.051,0.841,1.047,1.265,1.1,1.248,1.508,1.658,1.96248,1.737,2.41186,2.56758,2.62734,2.89048,3.01644,3.35656,3.58364,3.86114,4.133364,4.310971,4.82698,4.917902475,5.299708528
        Seychelles,net consumption,Africa,0.04371,0.04743,0.04929,0.05208,0.05208,0.05766,0.05766,0.0651,0.07254,0.0744,0.08835,0.093,0.09579,0.1023,0.10974,0.11253,0.11625,0.12927,0.13857,0.15066,0.178,0.18,0.205,0.21,0.212,0.217,0.237,0.255,0.253,0.259,0.283,0.377,0.39,0.409,0.41925,0.435572,0.46631,0.453402,0.45858,0.505894,0.5662,0.6131768
        Sierra Leone,net consumption,Africa,0.17484,0.19716,0.20832,0.21204,0.22599,0.15345,0.13764,0.13671,0.14973,0.19437,0.19623,0.20088,0.20088,0.20367,0.20739,0.0837,0.12555,0.0837,0.09579,0.06324,0.089,0.131,0.148,0.135,0.112,0.078,0.039,0.057,0.058,0.06,0.163,0.172,0.173,0.16,0.181844,0.196022,0.209584,0.128866,0.182672,0.130708,0.12981017,0.130889733
        Somalia,net consumption,Africa,0.10509,0.06975,0.0744,0.093,0.12276,0.19344,0.22134,0.2232,0.22506,0.22599,0.22878,0.23157,0.23157,0.23436,0.23715,0.23808,0.24087,0.24087,0.2418,0.24273,0.235,0.234,0.247,0.249,0.249,0.249,0.252,0.261,0.271,0.273,0.275,0.277,0.28915,0.29715,0.29709,0.29802,0.2988,0.30022,0.32995,0.32995,0.36498,0.392563143
        South Africa,net consumption,Africa,85.519,98.892,103.266,104.497,119.026,124.624,132.13,134.021,140.348,144.62,144.692,146.26,143.58,148.02,154.1,161.668,165.373,172.357,172.043,173.851,180.68386,180.28928,190.0491,194.55068,198.1947,203.14504,209.7711,220.39707,213.62507,204.60377,215.04142,218.38128,212.61604,211.54978,211.94895,209.37104,207.07929,208.27538,208.20456,204.91374,190.41096,191.4408006
        South Sudan,net consumption,Africa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.39242,0.4168,0.43084,0.51644,0.46686,0.485918,0.533194,0.541286,0.513262,0.54690729
        Sudan,net consumption,Africa,0.58,0.782,0.83,0.878,1.053,1.09,1.128,1.137,1.022,1,1.239,1.217,1.251,1.223,1.289,1.297,1.342,1.282,1.421,1.968,2.259,1.964,2.346,2.532,2.504,3.019,3.413,3.7638,4.19042,4.992,6.04718,6.65872,7.53598,7.86686,8.76622,9.94638,11.07332,12.0873,12.87685,13.060233,13.27127864,13.24149591
        Tanzania,net consumption,Africa,1.1,1.149,1.139,1.147,1.141,1.122,1.077,1.083,1.118,1.237,1.367,1.479,1.415,1.399,1.33,1.558,1.796,1.576,2.213,1.812,1.939,2.109,2.435,2.49,2.551,2.958,2.557,3.264,3.481,3.036,4.16712,3.90724,4.4902,4.69572,5.01266,5.5079,5.95912,5.97872,6.39166,6.6547,7.009382814,7.193058291
        Togo,net consumption,Africa,0.212,0.236,0.264,0.252,0.252,0.301,0.311,0.341,0.349,0.383,0.403,0.453,0.469,0.595,0.518,0.622,0.601,0.509,0.68,0.663,0.416,0.4164,0.4003,0.4282,0.5007,0.521,0.5067,0.53436,0.568,0.6153,0.63548,0.65478,0.61978,0.68319,0.87382,1.04684,0.69184,1.2919,1.06282,1.454061,1.203150458,1.240065047
        Tunisia,net consumption,Africa,2.264,2.416,2.594,3.063,3.223,3.444,3.43,3.759,4.024,4.18,4.597,4.796,5.159,5.236,5.613,6.193,6.824,7.292,7.581,8.348,8.848,9.452,9.818,10.267,10.722,11.266,11.519,11.04312,11.52436,12.50544,13.09958,13.05348,14.02078,14.3137,14.9375,15.08776,15.31688,15.63152,15.8374,16.73774,15.24893591,16.47929688
        Uganda,net consumption,Africa,0.30062,0.3046,0.31059,0.26281,0.35688,0.37276,0.36792,0.39502,0.43405,0.52226,0.60238,0.609029,0.801539,0.785496,0.822045,0.856757,0.924368,1.04843,0.99838,0.99652,0.8,0.802,0.78,0.883,0.997,1.129,0.9275572,1.164,1.384632,1.468959,1.68461,1.71512,0.9744,1.58483,1.69085,1.97293,2.74468,2.56849,3.08835,2.88238,3.12197372,3.07311486
        Western Sahara,net consumption,Africa,0.06696,0.06696,0.06789,0.06789,0.06789,0.06603,0.06882,0.07068,0.07161,0.07254,0.0744,0.0744,0.0744,0.0744,0.0744,0.07626,0.07626,0.07626,0.07626,0.0744,0.08,0.08,0.085,0.085,0.085,0.085,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0
        Zambia,net consumption,Africa,5.79,6.273,6.191,6.264,6.309,6.343,6.242,6.604,6.66,5.092,6.05,5.958,5.988,5.98,5.954,6.138,5.683,6.525,6.253,5.909,6.184,6.573,7.128,7.576,8.296,8.66,8.737,8.2652,7.5322,7.481,7.996304,8.808532,10.54892,11.082964,10.953504,11.692864,11.108963,12.502605,13.385809,12.27259773,11.795772,14.32075156
        Zimbabwe,net consumption,Africa,6.902,7.036,7.174,6.95,7.106,7.145,7.851,8.13,8.308,9.24,9.948,9.418,8.3,8.773,8.2,8.49,8.793,9.559,9.013,9.676,10.411,10.074,10.176,10.28,9.978,10.432,10.305,9.058,7.535,7.155,7.47868,7.91854,7.71248,8.0797,7.96012,7.63378,7.07994,7.838552,8.455186,7.786427,8.131026611,8.340104173
        Armenia,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,6.358,3.724,3.273,2.858,3.486,4.281,3.671,3.88,3.69148,3.6946,3.44126,3.69574,4.19614,4.16382,4.43884,4.776465,4.55743,4.48976,4.63072,4.9886,5.04306,5.19162,5.29666,5.32894,5.29114,5.57268,5.35326,5.79847,5.86704,6.13238676
        Azerbaijan,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,15.248,14.334,14.594,13.724,13.614,14.12,14.76,15.118,15.4061,15.56992,16.13262,18.30104,19.08472,17.26646,19.43242,16.98402,16.69734,13.48152,13.56822,14.55992,17.79298,18.38626,19.59206,20.27446,20.23628,19.53536,20.28678,21.02663,21.31544,24.618773
        Belarus,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,38.66,33.326,29.627,26.951,27.091,28.506,26.322,28.436,28.36256,24.70802,26.35038,26.59406,29.01344,29.5093,30.36508,30.4917,31.03038,29.46572,31.71764,32.42488,33.12424,32.62946,32.76518,31.7157,31.6923,32.16826,32.83396,32.6335,32.9749,40.83656734
        Former U.S.S.R.,net consumption,Eurasia,1168.604644,1123.888392,1234.063245,1278.406743,1342.196622,1382.509714,1343.502799,1395.350431,1432.730352,1464.423789,1460.94541,1446.912,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Georgia,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,10.113,8.379,7.708,5.514,5.26,5.678,6.695,6.702,6.27416,6.2263,6.3986,6.81196,7.0135,7.35514,6.69368,6.90516,7.09154,6.84924,7.62158,8.38176,8.46768,9.09772,9.81484,9.93326,10.48284,11.21232,11.9561,12.06208,11.7283,13.39998476
        Kazakhstan,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,82.879,79.286,59.78,58.533,52.1,44.952,41.957,39.823,44.46942,49.17544,49.81588,52.78854,54.32372,57.09254,61.32066,65.29538,69.05298,67.19114,72.61356,76.20982,81.81538,85.28706,81.76284,81.52606,83.02252,86.824,91.780574,92.298039,91.04476087,96.58101004
        Kyrgyzstan,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,8.519,8.244,8.145,7.994,6.94,6.693,6.998,8.596,9.114,8.14464,7.73506,9.5894,8.13492,6.818,7.101,7.619,7.132,6.972,7.30248,8.89286,9.94266,10.86716,11.11856,10.6802,10.51692,11.23434,11.7404,12.32414,13.48,11.77158864
        Moldova,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,9.301,6.121,6.841,6.093,5.841,5.477,5.355,4.113,6.2,6.257,7.623,9.108,8.247,8.64,9.099,8.308,8.346,7.208,7.107,5.995,6.199,5.533,5.628,5.674,5.428,5.667,5.90324,5.91499,5.928,9.6678
        Russia,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,864.351,807.823,701.881,712.081,700.221,689.786,675.259,688.434,717.253,721.016,730.411,744.126,765.242,776.05376,818.24968,842.49394,857.29781,817.8665,860.18224,870.92041,890.80348,882.92126,892.8323,891.82394,911.41306,920.425948,931.11845,945.36056,940.046104,996.4429162
        Tajikistan,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,16.213,14.165,13.783,13.655,13.401,12.899,12.772,13.118,13.29,13.235,14.137,13.817,14.223,14.425,14.632,14.471,14.88,13.916,14.0849,13.77772,13.69456,13.46936,11.8934,12.97528,12.959,13.68914,14.21318,15.26358,15.6938,15.67030669
        Turkmenistan,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,8.347,7.553,6.288,5.986,6.164,6.243,6.095,6.573,6.854,6.633,7.503,7.619,8.405,9.019,9.67,10.57938,10.58878,11.365,11.1244,11.4528,11.736,12.5088,13.425,15.09196,15.09196,15.092114,15.092154,15.092154,14.02169132,15.23232021
        Ukraine,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,210.563,193.509,169.769,162.786,146.652,140.108,132.827,128.34,125.121,125.92,127.038,132.959,139.897,142.143,147.998,152.942861,152.487,138.804,152.5179,156.279,154.12248,151.73284,143.32786,133.6114,133.20646,123.70406,127.14508,123.35464,127.15727,134.2524318
        Uzbekistan,net consumption,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,42.796,41.703,40.553,39.473,40.047,40.489,40.343,39.961,41.264,38.084,38.469,38.143,38.226,38.84,37.197,39.03,32.9016,36.8868,39.11402,40.37394,40.8123,41.573216,42.748766,44.243956,45.406223,47.59489,55.284857,57.56928,54.57145423,57.83014726
        Albania,net consumption,Europe,2.974,2.987,2.981,2.975,2.977,3.039,3.027,3.441,3.205,3.431,1.659,1.715,1.443,1.727,2.017,2.152,2.79,2.084,2.2,3.482,3.68836,3.48978,4.48556,4.04258,4.0516,5.1278,3.16042,3.58068,5.06626,5.42946,4.44145,6.54566,6.78935,7.25992,6.62569,5.98605,7.50528,6.119331,6.39826,6.500145,6.65637,7.415870874
        Austria,net consumption,Europe,33.974,33.937,34.472,35.164,37.034,38.56,39.02,30.376,41.956,43.323,44.305,47.242,47.107,46.183,46.871,47.945,49.725,50.322,51.118,52.336,53.33642,55.44718,55.9188,57.81084,58.96108,60.53582,62.95548,63.31914,63.38822,60.781,63.023378,63.095032,64.017145,64.531622,63.511077,64.664019,65.552597,66.554708,66.831206,68.6259317,66.7428936,68.5343248
        Belgium,net consumption,Europe,45.18,45.201,44.89,46.045,48.247,50.037,51.298,53.794,56.049,57.832,59.032,61.818,63.968,64.663,67.735,69.71,71.19,73.00595,74.89311,75.298,78.53076,79.28752,80.098,81.41356,83.52596,83.06408,85.5111,85.21944,85.33778,79.07678,87.404352,84.733665,85.166338,85.228951,83.249713,84.153489,84.355224,84.94295,85.3523042,84.4756648,81.9030948,83.4132299
        Bosnia and Herzegovina,net consumption,Europe,--,--,--,--,--,--,--,--,--,--,--,--,5.324,3.157,3.554,3.205,3.916,4.373,5.484,5.105,7.3399,7.38858,7.48098,7.8861,8.27506,8.54176,8.47288,8.45802,10.56564,10.17526,11.06712,11.54542,11.90898,11.6261,11.3385,11.44932,11.87153,12.20166,12.25308,11.65745,10.41152,11.4477785
        Bulgaria,net consumption,Europe,33.232,34.575,36.871,38.5,40.173,39.663,39.141,40.877,41.992,42.68,38.786,33.505,29.857,30.235,30.2755,33.218,34.733,30.066,30.012,27.362,27.4082,27.33136,28.27948,28.01322,27.82862,28.7814,30.03836,31.084732,31.71058,30.04748,30.18372,31.67922,31.1471,30.39022,30.8615,29.719049,30.268008,31.474095,30.5964996,30.1619512,29.6623552,30.32132826
        Croatia,net consumption,Europe,--,--,--,--,--,--,--,--,--,--,--,--,9.991,9.858,10.092,10.448,10.11,11.507,12.963,12.179,12.18404,12.34516,12.74052,12.83796,13.5151,14.23518,14.97544,15.45288,16.00566,15.21908,16.27512,16.1057,15.70014,15.46068,15.27506,15.729444,15.776593,16.482476,16.688812,16.7662931,15.7137589,15.93211966
        Cyprus,net consumption,Europe,0.904,0.923,0.99,1.076,1.1,1.164,1.249,1.331,1.461,1.627,1.746,1.818,2.102,2.296,2.395,2.21,2.2875,2.375,2.601,2.755,2.98,3.105,3.391,3.65,3.735,3.95,4.152,4.364,4.622,4.667,4.78806,4.48494,4.3124,3.86922,3.93202,4.101208,4.407173,4.553059,4.6720586,4.732683,4.4134741,4.659154866
        Czechia,net consumption,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,48.63235,50.37085,53.14985,55.006,54.89039,53.983,52.193,53.638,55.48092,55.41756,56.7634,58.1821,59.30822,61.0812,61.48862,62.17362,58.80644,58.280448,57.795127,58.361826,58.005424,58.107983,59.20346,60.270976,61.475199,61.805699,61.7141812,59.6808725,61.914601
        Denmark,net consumption,Europe,21.97,22.209,22.633,22.804,22.517,23.918,26.767,27.786,27.751,28.36,28.868,29.92,30.492,30.788,31.391,31.453,31.911,32.452,32.28073,32.573,32.78184,32.88744,33.20028,33.3268,33.92788,34.55092,34.97284,34.72604,34.356,32.82,34.154515,33.735034,33.322868,33.320282,32.738528,33.120167,33.381757,33.823852,33.5542043,34.0922942,35.3550586,38.1825901
        Estonia,net consumption,Europe,--,--,--,--,--,--,--,--,--,--,--,--,6.8,5.726,5.91,5.577,5.904,6.212,6.055,5.699,5.87254,5.8305,6.14144,6.52174,6.78336,6.88836,7.32888,7.6933,7.88696,7.48082,7.503114,7.232831,7.533739,7.468914,7.584939,7.679151,7.881563,7.988344,8.5479412,8.4680352,9.0281474,8.8419177
        Faroe Islands,net consumption,Europe,0.14136,0.14601,0.14973,0.14973,0.15717,0.16926,0.1674,0.17112,0.19065,0.19158,0.18786,0.18042,0.17763,0.16128339,0.15680265,0.1558401,0.1623966,0.16337589,0.17060013,0.17929191,0.204017,0.221173,0.230724,0.238492,0.239156,0.235753,0.249856,0.25942,0.264851,0.264517,0.268143,0.264,0.28,0.28,0.297,0.306,0.306,0.324,0.3168,0.34784,0.3814,0.397132418
        Finland,net consumption,Europe,37.613,38.975,39.369,42.455,45.822,48.989,49.895,53.466,48.353,57.115,64.984,64.899,60.878,63.494,66.486,65.302,67.3142,70.64958,73.817,75.1,76.2067,78.16886,80.51898,81.70888,83.97366,81.83886,87.1797,87.4512,83.7973,78.45344,85.465048,82.122658,82.769807,82.172823,81.369693,80.790649,83.376716,83.468382,85.4644094,84.0471162,79.525978,83.7249711
        Former Czechoslovakia,net consumption,Europe,68.54,66.088,66.863,68.842,70.998,74.267,76.271,77.873,78.902,80.44,81.79,77.939,72.284,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Serbia and Montenegro,net consumption,Europe,--,--,--,--,--,--,--,--,--,--,--,--,32.613,26.971,27.447,30.097,32.376,32.326,29.432,27.454,30.205,29.998,30.692,30.285,29.784,27.254,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Yugoslavia,net consumption,Europe,51.044,55.186,56.142,58.914,62.905,65.188,67.85,70.201,72.24,71.174,70.579,64.682,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        France,net consumption,Europe,236.442,239.299,242.635,247.079,260.163,277.937,292.67,301.429,309.385,316.531,323.043,345.386,355.1608,356.08,363.556,367.8385,382.65,381.735,393.359,401.221,409.74366,420.4527,418.21038,435.4392,446.95728,452.11806,447.83318,449.71518,462.5325,446.59636,473.785653,449.868447,460.679742,465.150496,440.727747,450.044349,457.025221,454.23484,451.3417492,448.0217777,425.070898,447.4470538
        Germany,net consumption,Europe,--,--,--,--,--,--,--,--,--,--,--,491.098,485.685,477.208,475.055,482.523,489.296,492.93143,497.445,497.056,509.08148,520.1949,532.51744,542.371,548.8792,543.7922,548.7564,552.6804,549.904,520.845,553.832042,547.112355,546.28479,544.830313,534.052503,537.623698,539.79954,540.634873,532.1598444,517.4728151,499.2452768,511.6603884
"        Germany, East",net consumption,Europe,93.619,89.256,90.562,92.517,102.835,106.223,108.359,109.512,111.156,110.58,97.72744,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"        Germany, West",net consumption,Europe,358.404,360.011,356.39,364.136,380.628,390.936,396.016,405.478,414.342,395.701,402.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Gibraltar,net consumption,Europe,0.05,0.052,0.054,0.055,0.055,0.057,0.059,0.058,0.062,0.071,0.071,0.071,0.079,0.07219,0.07719,0.07719,0.07905,0.08091,0.08556,0.08928,0.1135,0.11444,0.11726,0.12196,0.12384,0.1323,0.13694,0.1407,0.15104,0.15856,0.16138,0.15574,0.16044,0.17166,0.18012,0.20356,0.19516,0.19422,0.195573,0.19886,0.18845657,0.200984867
        Greece,net consumption,Europe,20.306,20.511,20.718,22.154,23.603,24.484,24.881,25.918,27.349,29.147,30.526,31.482,32.96,33.652,35.206,36.53,38.115,39.83618,41.983,43.4,45.97792,47.33954,49.5354,51.67068,52.99664,54.13574,55.8125,58.35748,59.65142,58.8956,55.42106,54.080574,53.828754,50.60603,51.306551,52.580293,55.27019,55.649167,51.1158787,51.7588833,46.1605771,52.1395064
        Hungary,net consumption,Europe,27.385,27.722,28.767,30.007,31.552,32.429,33.084,34.594,34.593,34.795,34.143,31.851,30.514,29.299306,29.59,29.882733,30.73976,30.93312,31.04041,31.895,31.83722,32.88344,33.99772,34.92322,35.34814,36.0282,36.90062,37.77576,37.72184,35.6388,36.354719,36.669597,36.870306,36.487384,37.195955,38.433949,39.036661,40.424479,41.1520503,41.7559378,41.715421,43.9138754
        Iceland,net consumption,Europe,2.857,2.954,3.235,3.419,3.598,3.518,3.682,3.701,4.026,4.095,4.073,4.065,4.16,4.369,4.495,4.605,4.6197,5.08769,5.787,6.742,7.3037,7.61376,7.95064,7.93864,8.16976,8.2347,9.44376,11.39788,15.76688,16.20288,16.047004,16.347998,16.81,17.625998,17.305,17.982002,17.682608,18.255294,18.878324,18.588793,18.238694,18.7089881
        Ireland,net consumption,Europe,8.446,8.302,8.483,8.435,8.67,9.486,9.779,10.697,10.639,11.388,12.014,12.605,13.372,13.701,14.286,14.968,15.941,16.77122,17.728,18.79,20.24872,20.8957,21.78134,22.36862,23.11974,24.00382,25.08454,25.3,26.355,24.959,25.537675,24.834806,24.613475,24.843758,25.025564,25.779363,26.412548,27.025035,27.6690696,28.2406594,28.5251053,32.6454046
